id,offerteId,position,beschreibung,menge,einheit,einzelpreis,rabatt,gesamtpreis,kategorie
,,,,,,,,,
POS-UhInPLp4,OFF-5pgy-hCa,1,Setup Kirby.cms,1,Stk,1200,0,1200,
POS-FdpM39TR,OFF-5pgy-hCa,2,Entwicklung Template,1,Stk,2400,0,2400,
